price,location,price_m2,area,property_from,room_no,finish_condition,balcony_garden_terrace,rent,parking_place,heating
680 000 zł,"Warszawa, Mokotów, ul. Łukowa",13 878 zł/m²,49 m²,pełna własność,3,Zapytaj,taras,Zapytaj,Zapytaj,miejskie
750 000 zł,"Mokotów, Warszawa, Warszawa",15 142 zł/m²,"49,53 m²",pełna własność,2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
790 000 zł,"Warszawa, Mokotów, ul. Podbipięty",11 721 zł/m²,"67,4 m²",spółdzielcze własnościowe,3,do remontu,balkon,Zapytaj,Zapytaj,miejskie
870 000 zł,"Warszawa, Mokotów, ul. Zwierzyniecka",11 771 zł/m²,"73,91 m²",Zapytaj,3,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,Zapytaj
2 895 990 zł,"Warszawa, Mokotów, Białej Koniczyny",18 500 zł/m²,"156,54 m²",Zapytaj,4,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
2 880 336 zł,"Warszawa, Mokotów, Białej Koniczyny",18 400 zł/m²,"156,54 m²",Zapytaj,4,do wykończenia,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 257 000 zł,"Warszawa, Mokotów, ul. Nałęczowska 33",16 986 zł/m²,74 m²,pełna własność,3,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 629 000 zł,"Warszawa, Mokotów, ul. Komputerowa",19 165 zł/m²,85 m²,pełna własność,4,Zapytaj,"balkon, taras",840 zł,garaż/miejsce parkingowe,Zapytaj
687 000 zł,"Warszawa, Mokotów, ul. Komputerowa",20 920 zł/m²,"32,84 m²",Zapytaj,2,do zamieszkania,balkon,Zapytaj,Zapytaj,Zapytaj
715 000 zł,"Mokotów, Warszawa, Warszawa",15 148 zł/m²,"47,2 m²",spółdzielcze wł. z KW,3,do zamieszkania,Zapytaj,600 zł,Zapytaj,miejskie
1 015 000 zł,"Warszawa, Służewiec, ul. Taśmowa",17 946 zł/m²,"56,56 m²",pełna własność,3,do zamieszkania,balkon,600 zł,garaż/miejsce parkingowe,miejskie
2 780 000 zł,"Warszawa, Górny Mokotów, ul. Ursynowska",22 151 zł/m²,"125,5 m²",pełna własność,5,do zamieszkania,balkon,1 400 zł,garaż/miejsce parkingowe,miejskie
1 400 000 zł,"Warszawa, Górny Mokotów, ul. Antoniego Józefa Madalińskiego 67B",16 847 zł/m²,"83,1 m²",spółdzielcze wł. z KW,4,do remontu,"balkon, taras","1 057,39 zł",garaż/miejsce parkingowe,Zapytaj
529 000 zł,"Warszawa, Górny Mokotów, ul. Racławicka",19 250 zł/m²,"27,48 m²",Zapytaj,1,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
1 950 000 zł,"Warszawa, Mokotów, ul. Santocka",18 224 zł/m²,107 m²,pełna własność,3,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
2 080 000 zł,"Mokotów, Warszawa, Warszawa",22 609 zł/m²,92 m²,pełna własność,4,do zamieszkania,balkon,Zapytaj,Zapytaj,elektryczne
1 150 000 zł,"Warszawa, Mokotów, al. Aleja Wilanowska",14 375 zł/m²,80 m²,pełna własność,3,do zamieszkania,balkon,883 zł,garaż/miejsce parkingowe,miejskie
1 113 840 zł,"Warszawa, Mokotów, ul. Dominika Merliniego",23 400 zł/m²,"47,6 m²",Zapytaj,2,do wykończenia,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
562 500 zł,"Warszawa, Służewiec, ul. Bełdan",11 817 zł/m²,"47,6 m²",pełna własność,3,do zamieszkania,balkon,500 zł,Zapytaj,Zapytaj
1 550 000 zł,"Warszawa, Mokotów, al. Aleja Wilanowska",18 061 zł/m²,"85,82 m²",pełna własność,4,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
725 000 zł,"Warszawa, Siekierki, ul. Bluszczańska",14 216 zł/m²,51 m²,pełna własność,2,do zamieszkania,balkon,750 zł,garaż/miejsce parkingowe,Zapytaj
1 940 000 zł,"Mokotów, Warszawa, Warszawa",17 557 zł/m²,"110,5 m²",pełna własność,6,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,miejskie
1 289 000 zł,"Mokotów, Warszawa, Warszawa",22 895 zł/m²,"56,3 m²",pełna własność,2,do zamieszkania,Zapytaj,Zapytaj,garaż/miejsce parkingowe,miejskie
890 000 zł,"Mokotów, Warszawa, Warszawa",17 589 zł/m²,"50,6 m²",pełna własność,3,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,miejskie
1 100 000 zł,"Górny Mokotów, Warszawa, Warszawa",13 819 zł/m²,"79,6 m²",spółdzielcze wł. z KW,3,do zamieszkania,balkon,1 200 zł,Zapytaj,miejskie
878 500 zł,"Warszawa, Mokotów, ul. Baboszewska",17 570 zł/m²,50 m²,pełna własność,2,do zamieszkania,Zapytaj,780 zł,Zapytaj,miejskie
1 247 000 zł,"Warszawa, Mokotów, ul. Santocka",16 851 zł/m²,74 m²,pełna własność,3,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 599 999 zł,"Warszawa, Służewiec, ul. Bokserska",17 778 zł/m²,90 m²,pełna własność,4,do zamieszkania,balkon,1 057 zł,garaż/miejsce parkingowe,miejskie
